hp,siren_min,siren_max,sinet_min,sinet_max,search_min,search_max
width,16,96,16,64,16,96
n_critic,1,2,1,3,1,3
lr_G,1.190679733691893e-05,1.879576611745346e-05,4.978402977751296e-05,0.0003865463351763892,1e-05,0.0005
lr_D,9.344960223744351e-05,0.0003989301725992403,2.257949049986813e-06,4.5402074693649415e-05,1e-06,0.0005
lambda_adv,0.00022670710350528896,0.0008648046978293341,0.00011079537390729727,0.002062997544130729,0.0001,0.5
grad_clip,0.1805051849982236,4.884651378565639,0.6658730559798656,3.915607440111407,0.1,5.0
n_iterations,30000,30000,25000,30000,15000,30000
sorting_group_size,,,8,16,1,16
fourier_mapping_size,,,8,48,8,64
fourier_scale,,,0.676345065144443,0.676345065144443,0.5,5.0
lambda_eikonal,,,1.8719588422090368e-05,0.00013527821070347636,1e-05,0.1
lambda_laplace,,,3.025423979924897e-05,0.0006518846138733343,1e-05,0.1
